comp,ivar,ipft,R2,RMSE,slope,reMSE,dNRMSE,sNRMSE,iNRMSE,f_SB,f_SDSD,f_LSC,varname,pft,var,dim,alg
biomass,2,9,0.9999811033402085,0.015443686997417506,1.0002022372705512,1.4091468897496729e-08,0.0006509883058474035,0.004347028846412583,inf,0.0013544434391883353,0.0023705720770775115,0.9962749844837342,biomass_02,PFT09,SapAB,pft,XGBRegressor
biomass,2,10,0.9999893975266521,0.017218517082435294,1.000044052939664,7.906393249764098e-09,0.00019380425010614145,0.0032561439384544504,inf,0.0008922438040400122,0.00022968675304795616,0.998878069442912,biomass_02,PFT10,SapAB,pft,BaggingRegressor
biomass,2,11,0.999995881486968,0.10266068663771959,0.999916469219615,3.071225228862202e-09,0.0002576380387848413,0.002029411991662662,inf,0.000461074663757421,0.001611820749583816,0.9979271045866587,biomass_02,PFT11,SapAB,pft,BaggingRegressor
biomass,2,12,0.9998862431417292,0.13320541620396653,1.0003466192311858,8.482987193937477e-08,0.0009458008660785679,0.010665686019694259,inf,0.003239392605877107,0.0014293303943486268,0.9953312769997742,biomass_02,PFT12,SapAB,pft,XGBRegressor
biomass,2,13,0.9999999999387568,0.00011477585636368741,0.9999998847903698,4.566980791423163e-14,4.1145296799035633e-07,7.82580426620706e-06,inf,1.8322775826209095e-05,0.00021661504658143825,0.9997650621775923,biomass_02,PFT13,SapAB,pft,XGBRegressor
biomass,2,14,0.9999928554268437,0.005869454701545799,0.9999103207983275,5.327795045693391e-09,0.00014432568122357917,0.0026729334365589497,inf,0.00011336866135713512,0.001037865932508115,0.9988487654061348,biomass_02,PFT14,SapAB,pft,XGBRegressor
biomass,2,15,0.9996661912166226,0.0054019795225239845,0.998866097684445,2.489252672464e-07,0.0012142205105314717,0.01827043467948758,1.350092365067731,0.0009842025928560344,0.0028049246539363863,0.9962108727532076,biomass_02,PFT15,SapAB,pft,BaggingRegressor
biomass,3,2,0.9999940206342045,0.10146193612757831,0.9999578191779537,4.458885753519385e-09,0.0004452794769685657,0.002445274175929868,inf,0.00011600068824668321,0.00025688891158931395,0.999627110400164,biomass_03,PFT02,SapBE,pft,XGBRegressor
biomass,3,3,0.9999998205443832,0.012070468033767672,0.9999504623432196,1.3382223476378941e-10,6.39492529978779e-05,0.0004236220211677405,inf,2.1667091499705857e-05,0.013625757878581536,0.9863525750299188,biomass_03,PFT03,SapBE,pft,BaggingRegressor
biomass,3,4,0.9999987285067262,0.013904567842356098,0.9997318304714964,9.481679893675764e-10,0.00016119415135318202,0.0011276051054078815,inf,0.0019382615484924495,0.056307131523390154,0.9417546069281174,biomass_03,PFT04,SapBE,pft,XGBRegressor
biomass,3,5,0.9999796575304183,0.1301853000814602,0.9993398084029467,1.5169626832013388e-08,0.0005745077138600221,0.004510262695423622,inf,0.0013081722052446633,0.020785021153934186,0.977906806640821,biomass_03,PFT05,SapBE,pft,XGBRegressor
biomass,3,6,0.9999998571854725,0.011182857328771287,0.9999861833090355,1.0649852912058969e-10,5.516794159918798e-05,0.0003779080940529202,inf,0.0015011063218647337,0.0013229632235761937,0.997175930454559,biomass_03,PFT06,SapBE,pft,BaggingRegressor
